Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.260000,-113.525000,180.000000,top
"C2","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.700000,-124.130000,90.000000,top
"C3","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",127.640000,-127.430000,-90.000000,top
"C4","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",126.750000,-118.410000,0.000000,top
"C5","1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",106.760000,-116.950000,180.000000,top
"C6","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",119.660000,-118.262500,90.000000,top
"C7","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",106.777500,-115.930000,180.000000,top
"C8","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.340000,-117.720000,0.000000,top
"C9","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",122.350000,-115.680000,0.000000,top
"C10","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",111.640000,-111.340000,90.000000,top
"C11","22pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",106.792500,-117.990000,0.000000,top
"C12","22pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",107.350000,-123.070000,180.000000,top
"D1","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",121.295000,-108.027500,90.000000,top
"D4","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.040000,-126.872500,-90.000000,top
"D5","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",121.080000,-125.280000,180.000000,top
"F1","200ma","Fuse_0805_2012Metric",112.920000,-103.990000,180.000000,top
"F2","1amp","Fuse_0805_2012Metric",115.790000,-106.780000,-90.000000,top
"L1","4.7H","L_Taiyo-Yuden_NR-30xx",122.270000,-120.660000,180.000000,top
"Q1","PMOS","PMOS_sot-23",112.825000,-102.125000,180.000000,top
"Q2","PMOS","PMOS_sot-23",124.260000,-108.780000,90.000000,top
"R1","10R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",117.810000,-102.790000,180.000000,top
"R2","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",113.630000,-110.150000,0.000000,top
"R3","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",118.790000,-111.290000,0.000000,top
"R4","512R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",117.090000,-111.890000,-90.000000,top
"R5","512R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",116.000000,-111.900000,-90.000000,top
"R6","56.2K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",121.480000,-122.930000,0.000000,top
"R7","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",121.490000,-123.970000,180.000000,top
"R8","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",112.900000,-111.900000,-90.000000,top
"R9","330R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",118.007500,-105.820000,0.000000,top
"R10","330R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",104.860000,-127.620000,180.000000,top
"R11","330R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",119.810000,-123.330000,-90.000000,top
"R12","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",114.930000,-111.890000,-90.000000,top
"R13","10K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",113.920000,-111.900000,-90.000000,top
"U1","TPS562200","SOT-23-6",126.200000,-120.707500,0.000000,top
"U2","ATmega328P-A","TQFP-32_7x7mm_P0.8mm",113.790000,-118.510000,0.000000,top
"Y1","16Mhz","Crystal_SMD_EuroQuartz_MT-4Pin_3.2x2.5mm",106.750000,-120.540000,90.000000,top
